timestamp,table_id,last_token,replicas,new_replicas,tablet_count,stage,transition,resize_type,resize_seq_number
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-8646911284551352321,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-8070450532247928833,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-7493989779944505345,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-6917529027641081857,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-6341068275337658369,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-5764607523034234881,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-5188146770730811393,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-4611686018427387905,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-4035225266123964417,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-3458764513820540929,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-2882303761517117441,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-2305843009213693953,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-1729382256910270465,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-1152921504606846977,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-576460752303423489,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-1,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,576460752303423487,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,1152921504606846975,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,1729382256910270463,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,2305843009213693951,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,2882303761517117439,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,3458764513820540927,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,4035225266123964415,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,4611686018427387903,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,5188146770730811391,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,5764607523034234879,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,6341068275337658367,"[[""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,6917529027641081855,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,7493989779944505343,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,8070450532247928831,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,8646911284551352319,"[[""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0]]",[],32,,,none,0
2026-09-17T14:42:56.027236+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,9223372036854775807,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 1], [""c22ded01-d373-44a7-9633-014a1b342008"", 1], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 1]]",[],32,,,none,0
2026-09-17T14:42:57.064883+00:00,bc64a520-b2a0-11f1-806b-4bc719c9ad23,-8646911284551352321,"[[""849040cc-f841-4790-a4c0-1796a177ea8b"", 0], [""fd88c26e-1b3e-4e90-97c4-56c206b557a4"", 0], [""c22ded01-d373-44a7-9633-014a1b342008"", 0]]",[],32,,,none,0
